DATE,NGDPSAXDCUSQ
2012-07-01,4079885.25
2012-10-01,4105104.75
2013-01-01,4162047.25
2013-04-01,4182171.75
2013-07-01,4238459.5
2013-10-01,4298005.0
2014-01-01,4299434.5
2014-04-01,4379627.0
2014-07-01,4451057.0
2014-10-01,4478020.0
2015-01-01,4515882.5
2015-04-01,4569946.0
2015-07-01,4600406.5
2015-10-01,4608784.5
2016-01-01,4631483.5
2016-04-01,4677925.5
2016-07-01,4723160.0
2016-10-01,4772345.0
2017-01-01,4820021.0
2017-04-01,4859661.0
2017-07-01,4923149.0
2017-10-01,5009272.0
2018-01-01,5082138.5
2018-04-01,5145228.0
2018-07-01,5199682.5
2018-10-01,5229467.0
2019-01-01,5276033.5
2019-04-01,5346194.0
2019-07-01,5423570.5
2019-10-01,5475597.5
2020-01-01,5426628.5
2020-04-01,4978286.0
2020-07-01,5411910.0
2020-10-01,5506125.5
2021-01-01,5650046.5
2021-04-01,5823090.5
2021-07-01,5957243.5
2021-10-01,6163651.0
2022-01-01,6257279.0
2022-04-01,6386068.5
2022-07-01,6498660.0
2022-10-01,6602101.5
2023-01-01,6703400.5
2023-04-01,6765753.0
2023-07-01,6902532.0
2023-10-01,6989249.5
2024-01-01,7067293.5
2024-04-01,7163084.5
