Fiscal Year,Award Obligation to Date 
2014,$15.00M
2021,$15.00M
2021,$15.00M
2019,$14.98M
2019,$14.98M
2020,$14.98M
2020,$14.93M
2020,$14.87M
2013,$14.85M
2020,$14.85M
2020,$14.85M
2020,$14.85M
2020,$14.85M
2020,$14.85M
2013,$14.82M
2014,$14.79M
2019,$14.63M
2019,$14.58M
2015,$14.50M
2015,$14.46M
2015,$14.40M
2011,$14.28M
2023,$14.26M
2011,$14.25M
2012,$14.23M
2019,$14.19M
2014,$14.10M
2019,$14.08M
2013,$14.06M
2023,$14.03M
2022,$14.00M
2011,$13.93M
2022,$13.92M
2015,$13.91M
2018,$13.80M
2022,$13.77M
2011,$13.74M
2017,$13.74M
2021,$13.73M
2022,$13.73M
2021,$13.71M
2022,$13.70M
2018,$13.65M
2016,$13.61M
2015,$13.60M
2011,$13.60M
2011,$13.60M
2021,$13.60M
2019,$13.57M
2015,$13.49M
2011,$13.40M
2011,$13.35M
2018,$13.35M
2012,$13.33M
2013,$13.29M
2019,$13.26M
2020,$13.12M
2015,$13.02M
2020,$13.00M
2021,$12.95M
2012,$12.94M
2013,$12.92M
2020,$12.90M
2017,$12.90M
2012,$12.86M
2022,$12.84M
2011,$12.82M
2021,$12.75M
2015,$12.74M
2021,$12.73M
2011,$12.62M
2011,$12.61M
2019,$12.60M
2022,$12.56M
2012,$12.55M
2021,$12.55M
2021,$12.55M
2021,$12.55M
2020,$12.44M
2015,$12.42M
2013,$12.39M
2020,$12.39M
2020,$12.39M
2020,$12.38M
2012,$12.31M
2019,$12.30M
2011,$12.25M
2021,$12.25M
2020,$12.25M
2020,$12.25M
2021,$12.25M
2020,$12.21M
2022,$12.21M
2017,$12.19M
2017,$12.17M
2015,$12.15M
2018,$12.15M
2021,$12.14M
2018,$12.07M
2022,$12.06M
2015,$12.00M
2015,$12.00M
2022,$11.98M
2014,$11.97M
2022,$11.95M
2012,$11.91M
2019,$11.88M
2020,$11.83M
2019,$11.80M
2022,$11.80M
2023,$11.77M
2022,$11.74M
2023,$11.70M
2023,$11.70M
2023,$11.66M
2023,$11.61M
2022,$11.60M
2019,$11.58M
2023,$11.50M
2012,$11.33M
2014,$11.31M
2016,$11.27M
2019,$11.25M
2018,$11.22M
2013,$11.20M
2012,$11.11M
2014,$11.09M
2014,$11.07M
2022,$11.06M
2014,$11.00M
2023,$10.96M
2016,$10.95M
2020,$10.90M
2018,$10.90M
2012,$10.89M
2015,$10.85M
2013,$10.79M
2014,$10.78M
2014,$10.75M
2023,$10.65M
2019,$10.60M
2014,$10.60M
2013,$10.52M
2019,$10.48M
2013,$10.47M
2013,$10.45M
2011,$10.44M
2014,$10.41M
2018,$10.41M
2022,$10.40M
2017,$10.39M
2020,$10.38M
2021,$10.34M
2021,$10.26M
2023,$10.25M
2011,$10.20M
2021,$10.17M
2020,$10.15M
2022,$10.11M
2022,$10.08M
2020,$10.03M
2019,$10.00M
